  00434FF404      FFE48C0FC6   
  0005FB0FEC      010D8DEADE   
  00A10BBB3E      0090D7CB0E   
  007EDF12CE      FF28479DED   
  00576A4471      00AFC03728   
  FF5259F66F      009520680E   
  00B734465A      FFC64633A8   
  FFED138B0A      FFF7C6ED15   
  0011AD2181      FFC7F2115E   
  0088913084      00170D5A56   
  0008A21C0C      002FC5ABA7   
  008784F08E      013B46D975   
  FF2646B5B9      00333B6951   
  0020513B3B      00345FF3AE   
  006ED7CE24      00676169F1   
  FFC9163EF5      FF94C04BEA   
  FF544A78B1      0020B1DEEA   
  013EB5B2C5      0017376589   
  FF50E388CB      FFA7D789C7   
  0084D1D149      FFD8532D22   
  FFC8051697      00E3B60071   
  00A2BDE91E      FF2EFBC980   
  FFD11E0950      00ED369669   
  004B263F99      0012A27088   
  FFD071B5CF      FF92EC283D   
  01218F0F3E      00615592AE   
  FF348BFE91      00D4159AB3   
  00667EDFA9      FF9FE4E051   
  009C63CF90      00D680E191   
  0043B7CAF5      FFEAD942D4   
  00C303701B      FF65A2027B   
  FFC9515D79      003D83D381   
  006A95C0A5      FF93F79105   
  FF4D3D1B2B      FF62061D54   
  FF2C9AFB92      FF969C19B7   
  00538266BA      011376CDE2   
  0069535F1D      FFB06CD90B   
  FF5B036866      FFA5F1611F   
  FFE5686CA5      00BCCDCC96   
  FFC527B43C      FF6738FEBB   
  000023FFAA      0037C422DD   
  00F61782BC      FF6A09090D   
  00E55E7247      00514AE07D   
  FFCBC32F38      006202CF2E   
  014491D47A      FEB0C1A1CC   
  FF2AE038C8      FF6AA8DF54   
  00B92A5E50      FFD9947114   
  FFE348453C      FF6EFA1023   
  FFE161693F      002D2D0F29   
  FFACBEDD67      002CE67278   
  006951A5C8      FFB9435F52   
  00A4D7D7FB      003F4C7314   
  00A9E444AA      000343780A   
  009DA34828      002380AE68   
  FF55AE7150      FF6A02392F   
  00D35BC6B5      001CA2C35C   
  FEF316B825      FF586CFEE0   
  011C99E0A5      FFCDEA8E2B   
  001060EEF8      FFA9F190E5   
  FFCAFB10EB      FF59C62D89   
  FFB54F465C      FF454E6FA6   
  00511BD3D0      FF30BC1243   
  003723FC0A      004D1F5EA1   
  00BDA1A799      FFE00F4728   
  FEF1D6CA21      FFD4F71DCD   
  FFCC22FCD5      FF64760123   
  00C3A81A1C      00FBD61AA8   
  FF61CD6EBA      FFB08B6BD5   
  00BEE549ED      FFB1E9B3B4   
  FEEA15374E      00DACD517B   
  FF796BB870      FFC6FDCBCB   
  FF4A0ED6DE      FFBC3FD963   
  00BA3EBDCD      FF352AE68F   
  00063C4EFD      FEF11F7DD4   
  00F2F3BBCF      00B931C112   
  FF9CEE3357      FF8130E66A   
  0090A1C4E1      FFFF1D453B   
  002866E21F      00C3AF333E   
  FF26E2075C      FFF5F1726E   
  000EEABC2B      003746E3B0   
  FF9E1FB7B1      FFE0B72E42   
  008034BEDC      FF34F22811   
  FFB1AE8BB1      001EED86AD   
  008A57604D      004F44DC51   
  01295BA655      00D3807FD1   
  000433EBD7      FF2E1CD9B3   
  FF41BDE471      00EACA78D8   
  0156A3E545      FFDDC862B6   
  FF1C76987C      0003E0F70B   
  FFA78D5ABD      FFAACB19D6   
  00EFD29AC5      00860F76F6   
  FFC5FE74F6      009AF8999A   
  000817354E      FFF31C9C35   
  018B95425F      FFDBBB1206   
  FF37F6D5F0      FFBB14C587   
  FF7245CFD9      0018FBAB5F   
  FF69D979C7      FFE40A0EFA   
  00DC52374E      FEAFBC6C7C   
  00DAD847E9      006B0319EB   
  0049995CC6      00E3419AB0   
  00146B02F1      FF8581B778   
  FFC04369BC      FF08D00F54   
  FFEED5B8B8      0081290B06   
  FFB932F491      0023C003BF   
  00CB5C979F      0031809BC3   
  FFBF0D9F78      008D674A32   
  0060F0D3F9      FF9987706A   
  00D96CB2A6      007531E350   
  0113F84F2D      FF5A65B9C0   
  FFA4AA5FDE      FF8E79EA8C   
  000D2AA0B5      FFA7663C29   
  003888135B      009CB94AD7   
  006BD99AD4      FF88B13984   
  FFA13DF79A      FF993309BD   
  00C58AC980      004915D826   
  FFC6FD9C87      0055E686E0   
  00115144F6      FF824A11A2   
  00273F5432      FF32129D4E   
  FF8B7242CD      FFE0E43D21   
  FFF5A4779A      0003918F52   
  000B15EB5B      FFA2179A57   
  FFF232D678      0013B01B30   
  FF3609432A      004A6F6C11   
  008753C18B      FFE57FD777   
  00095A4E7B      00927A07A8   
  009E9A5735      FFF075F9C6   
  FF7ACE18FC      00512084B4   
  00F2DFCBDB      0067BE2CF6   
  FF33DD96F4      FF7FD685F9   
  007E27905E      00D235DDB1   
  00A56267DB      FFFB4E6F7A   
  00B5928B83      000E0CF12B   
  FF25FCB363      00F26652A2   
  001DF8577A      FF5213AF17   
  00BB797F95      00E4C1792B   
  00399A51B0      FFD57CFD69   
  004C319B54      00890BA700   
  FF2A6B85BB      FFDBAC1019   
  006E575BEF      FED2839F0E   
  FFD8F47F3A      FF9A590A24   
  FFD7AA8E84      0033BEBCAE   
  00E64F6999      0116AF0072   
  00134530B8      00E4192DA0   
  FF1B4DF35F      FFBDF4F572   
  006913DF43      00B1BAC0C8   
  FFC9FFC37B      0116DDC7D3   
  0106F11FEC      FF8E7E02CD   
  01659B538E      FFACDEC801   
  FEEF9DA930      FFEC3C094B   
  FFDE0EBEF4      0094A7B8B2   
  00197CF87B      009AD1C4A1   
  FF73EE86E3      0070B4F9B4   
  004372A7F1      005870F407   
  00B93BCB7A      004B44B5FE   
  FF7CC1A3F3      FEC93CBFFD   
  0095F6A2E7      FF723C5EDF   
  0069AB34BA      FFB0EF7CE5   
  0105C7AEA3      00AC1F6A96   
  FFAB9F122A      FFA4E67350   
  FEAA5AA9F3      006F2709F0   
  0089E43925      0042CE1AD9   
  0012501F96      FFEB6FCE07   
  0019DDBAFD      FF44D8F54B   
  FFD313CA4E      00229A07B7   
  006965F528      FF0C54342B   
  FFFD2CE25D      006305EEFD   
  FF92FA9033      009E5C041B   
  0078EBA7AD      00F354C840   
  FFEBB0098D      FF87930CF8   
  FF918F3D06      FF6E24DF64   
  00262DD5B1      000CF7678D   
  007AF4D14A      FFDB3CF006   
  0041D3E78F      FEEC14C693   
  0063948435      FFA04DF1DD   
